id pc1 pc2 pc3 pc4 pc5 pc6 pc7
7695 -0.00376 -0.00222318 -0.00258189 -0.00898336 -0.00390664 -4.43335e-5 -0.005975
6323 0.00343177 -0.00300528 2.22864e-6 -0.0139243 -0.00128887 0.00393472 -0.0159535
5722 -0.00618029 -0.00886506 -0.00567933 -0.0282955 0.00112511 0.00530034 -0.0199902
5086 0.00574197 -0.020262 -0.0128485 0.00455096 -0.0232324 0.00349353 -0.0854988
4447 0.00281632 -0.00462166 -0.00930315 0.00632684 -0.00218684 -0.0072855 -0.0054439
4318 -0.00504755 0.00481251 -0.00699619 -0.0118479 0.016494 0.00379407 -0.00159336
3201 0.00377541 0.0040707 0.00852565 -0.00612298 0.0075639 0.0125661 -0.00442736
3213 0.00614874 -0.0123262 -0.0406425 -0.0040404 -0.0130526 -0.00452634 0.00859611
6302 -0.00408286 0.00189558 -0.00162864 -0.00351564 -0.00744732 0.00855513 0.00449369
5720 9.8987e-4 -6.19168e-4 0.00399771 -4.1836e-4 -0.00114771 -0.00627504 0.0118673
4442 -0.00360255 5.26708e-4 -0.00329997 -0.00110766 -0.00185562 -0.00286168 -0.00591608
4308 0.0028536 8.50844e-4 0.00508007 0.00247105 0.005215 0.0183419 0.0120275
3796 -0.00629526 0.0020211 -0.00293497 -0.00524572 -0.00511331 -0.0210429 0.0162551
3121 -0.00261849 0.00550126 0.00274799 0.00158867 0.0132827 0.00245533 -0.00480014
7228 -0.00343711 1.5565e-4 0.0019931 -0.0149627 0.00967939 -0.0204774 0.00688854
6193 -0.00600601 -0.00659203 -0.00192062 -0.0190408 -0.00464573 0.00638293 -0.0230055
5667 0.00149779 -0.00101891 -0.00444764 -5.94634e-4 0.0129759 -0.00194341 -0.0088675
5058 -0.00808039 0.00398905 0.00779714 -0.0015396 0.0110996 0.00714173 0.00755114
4418 0.0338807 -0.0291079 0.00766074 0.0511293 0.0357422 0.00277504 -0.0179758
4259 0.00147085 0.0131218 -0.00571756 -0.00740611 0.0170315 0.00263691 -0.00118678
3759 -0.00746326 -0.00610033 -0.00925274 -0.018688 0.0125328 0.0122634 0.00216488
3076 -0.0040783 -0.00840418 -0.00107749 0.010219 -0.00605902 0.0114559 -0.00669914
6927 0.00527905 -0.00647924 -0.00643589 0.00336228 -1.55307e-4 0.0096391 -0.00440773
6106 0.0053635 8.56714e-4 -0.0232857 0.00602129 -0.0077041 -0.00199009 0.00499855
5547 -2.98193e-4 0.00447565 -6.97252e-4 -0.0111652 -0.00612955 0.00729559 -0.0244587
4743 7.7827e-4 -0.010988 -0.0283715 -0.00548447 -0.0199049 -0.00681213 5.59802e-4
4407 0.0303661 -0.051756 0.0187118 -3.83699e-4 0.02772 -0.0188861 0.0265056
4244 -0.00428531 0.00133687 0.0095538 0.00974176 0.00578614 0.00852358 0.00124688
3725 -0.00259314 -0.00261045 0.00342571 -0.0155929 0.00842946 -0.0467513 -0.00848151
3002 -0.00188896 0.00538909 0.00109459 -0.00428742 0.0060109 -0.00479617 -0.00549206
6792 -3.76514e-4 0.00113376 0.00110929 -0.00369138 0.00222996 0.00405848 0.00417416
6102 0.0111073 0.00234304 -0.0157256 0.0221566 0.0184547 0.0149953 0.016012
5480 0.00440753 -0.00653817 -0.0260909 0.00159906 -0.00424095 -0.00439173 0.0157312
4741 0.0396469 0.0324769 0.0263733 0.0126764 -0.00756719 -0.0142411 0.00235034
4404 -0.00698517 -0.00369638 0.00848857 -0.0180648 0.00943039 -0.0527088 -0.00720627
4230 0.0254143 0.00379356 -0.0912996 0.0230447 -0.0242689 -0.00488971 0.0141923
3705 0.00389961 -0.0066876 0.0154869 0.01129 -0.0231259 0.00672889 0.00738586
3280 -0.00286481 0.00324225 0.00651522 0.0132333 -0.034867 4.421e-4 0.00850833
6675 0.00268235 -0.00455356 0.00477711 0.0150253 -0.00662059 0.013015 0.00262468
6100 -0.00763065 0.0043969 0.00599805 -6.24521e-4 0.00835908 0.00420244 0.00848262
5467 -0.00342417 0.00161623 -0.00145491 -0.01057 0.00445332 -0.0020518 -0.0179153
4628 0.00250801 -0.00637477 -0.0034942 -0.002659 -0.00649653 0.00413108 -0.0051097
4399 -0.00206678 -0.00128076 0.00494002 0.00200579 -0.0138955 0.00813763 -0.0317151
4195 -0.00410304 -0.00587509 -3.77836e-4 -0.0104315 0.00116271 -0.0280265 0.00394703
3662 -0.00333632 -0.00147234 0.00194093 -0.0130663 -0.0020866 0.021629 0.00606198
2908 -0.00125772 0.00441449 -4.91752e-4 0.0176337 0.0223723 -0.00862625 -0.00399471
6641 0.00356256 -0.00964822 0.00733284 -0.0103984 0.0159166 -0.00988035 0.0127937
6034 0.00523354 0.00874723 -0.00105088 0.00160943 0.00211702 -5.32599e-4 -0.00256708
5442 0.0488553 -0.0976721 0.0323317 0.0125817 0.0321827 7.48178e-5 0.0296484
