factor(sex)M factor(twin)1 age_std age2_std
-0.3649374 -0.581541 1.742897 -1.560396
-0.4727688 -0.8015711 1.467193 -1.325011
-0.3705562 -0.8258728 1.660639 -1.524942
-0.3268905 -0.5136133 1.878031 -1.712078
-0.3320504 -0.6225481 1.73744 -1.533902
-0.2164999 -0.7258469 1.820695 -1.648114
-0.4759135 -0.4073959 1.61611 -1.420261
-0.3885677 -0.5998038 1.600261 -1.44531
-0.4055842 -0.664162 1.711803 -1.564737
-0.3376095 -0.4309223 1.661732 -1.436291
-0.4132607 -0.7187621 1.803333 -1.712204
-0.4023683 -0.6553766 1.811884 -1.551624
-0.3699942 -0.4537236 1.79956 -1.60659
-0.3642252 -0.6647809 1.734889 -1.528224
-0.3948128 -0.4777319 1.924021 -1.697004
-0.4293223 -0.7280729 2.036773 -1.809944
-0.5106509 -0.6413105 1.872521 -1.688387
-0.305992 -0.5900307 1.870184 -1.765959
-0.3966358 -0.7687403 1.787688 -1.60486
-0.3785634 -0.7171141 1.879391 -1.699333
-0.3893433 -0.7825756 1.966338 -1.772415
-0.3869987 -0.5998458 1.9328 -1.757512
-0.3642612 -0.5360682 1.886909 -1.620023
-0.3112683 -0.7237657 1.771465 -1.629465
-0.3477571 -0.7977475 2.008388 -1.856711
-0.4392895 -0.5591248 2.008091 -1.879581
-0.5610865 -0.8108571 2.000259 -1.869437
-0.3741992 -0.5415215 2.046848 -1.827175
-0.4249244 -0.8526018 2.008481 -1.828618
-0.3849394 -0.7150853 2.072313 -1.870431
-0.3613199 -0.6766182 1.999561 -1.702691
-0.4931765 -0.5099118 1.88606 -1.720711
-0.3134791 -0.5125979 1.958403 -1.8133
-0.5336607 -0.5579966 2.023792 -1.891478
-0.4825147 -0.729887 2.014283 -1.875337
-0.4949487 -0.6624275 1.864562 -1.673283
-0.5373648 -0.6364318 1.810398 -1.658476
-0.3126483 -0.7795655 1.933738 -1.765793
-0.4028635 -0.7643261 1.899818 -1.693412
-0.3059596 -0.5471762 1.953702 -1.736789
-0.2817038 -0.7274157 1.887807 -1.748677
-0.5196768 -0.6964255 1.849041 -1.736925
-0.3825559 -0.5950276 2.029526 -1.779153
-0.4121503 -0.6135581 1.893351 -1.68283
-0.2918934 -0.9169057 1.902717 -1.720469
-0.4170235 -0.7650981 1.935124 -1.786569
-0.3401326 -0.7585701 1.991357 -1.739095
-0.3976346 -0.7683678 1.927682 -1.796643
-0.249996 -0.7814952 2.006591 -1.808945
-0.4000206 -0.8215073 1.966096 -1.813756
-0.3408602 -0.6830195 2.092305 -1.893119
-0.4714421 -0.447617 2.024932 -1.809509
-0.3790803 -0.907156 1.929079 -1.749861
-0.5123518 -0.728269 1.990772 -1.734589
-0.4548591 -0.9110645 1.940467 -1.777701
-0.3582805 -0.4712611 2.096112 -1.90392
-0.4330071 -0.6623806 2.069164 -1.842747
-0.4330907 -0.81316 2.126869 -1.95011
-0.4489088 -0.6013051 2.143325 -1.9475
-0.3854707 -0.769379 2.034709 -1.816665
-0.3251806 -0.8499996 1.842588 -1.732092
-0.5071816 -0.6719096 1.905415 -1.785367
-0.2829464 -0.723655 2.134331 -1.91142
-0.4946122 -0.799616 2.15523 -1.96658
-0.4249864 -0.8117974 2.097211 -1.887645
-0.4277571 -0.788253 1.976701 -1.768737
-0.4361037 -0.5764992 1.866991 -1.661359
-0.2378044 -0.3924175 1.930945 -1.783452
-0.3987971 -0.5834066 2.036727 -1.864659
-0.4195786 -0.535968 2.04855 -1.897759
-0.3730362 -0.5389223 2.058375 -1.772544
-0.3153048 -0.665264 1.914053 -1.717896
-0.4719591 -0.6559535 1.910626 -1.808627
-0.442351 -0.4576802 1.887119 -1.681609
-0.6359272 -0.8658342 1.838267 -1.738331
-0.441878 -0.6475537 1.786922 -1.725868
-0.4423647 -0.6109708 1.855367 -1.80117
-0.416219 -0.7667756 2.023479 -1.805182
-0.3564461 -0.5893951 1.954777 -1.793808
-0.5595057 -0.5919745 1.897823 -1.759978
-0.3901069 -0.6094298 1.878528 -1.693718
-0.5400624 -0.615611 1.933555 -1.732877
-0.5509292 -0.8741536 1.843582 -1.690315
-0.5301995 -0.8152836 1.723339 -1.553921
-0.4102862 -0.7085409 1.763619 -1.610719
-0.497783 -0.5617121 1.810368 -1.587244
-0.4546984 -0.5422022 1.852424 -1.645764
-0.5296676 -0.9823362 1.744793 -1.595667
-0.2509882 -0.6044986 1.90732 -1.720495
-0.4350069 -0.7517922 1.767463 -1.667866
-0.3275353 -0.4874225 1.89232 -1.62938
-0.3982036 -0.5817431 1.856267 -1.658726
-0.5758661 -0.5962615 1.952476 -1.808885
-0.328746 -0.6522489 2.026891 -1.764899
-0.4676228 -0.8580771 1.888304 -1.697593
-0.3062869 -0.7937871 1.779621 -1.51236
-0.3573947 -0.7477336 1.684124 -1.479403
-0.555515 -0.7405691 1.910776 -1.675103
-0.4623734 -0.5503883 1.951203 -1.652323
-0.3565818 -0.5219132 1.787807 -1.594598
-0.3802351 -0.6578063 1.924908 -1.761416
-0.274099 -0.6537705 1.91159 -1.694566
-0.3793899 -0.7613428 1.872749 -1.658231
-0.4310371 -0.937916 2.059644 -1.839377
-0.2989581 -0.6293111 2.013044 -1.822577
-0.4558771 -0.4629646 1.933858 -1.758359
-0.455949 -0.6277576 1.919178 -1.740656
-0.555257 -0.6725813 1.877689 -1.720446
-0.400679 -0.6985109 1.865931 -1.69132
-0.478315 -0.6444069 1.927599 -1.791398
-0.3515168 -0.8427694 2.027003 -1.837836
-0.4280599 -0.5792536 2.150358 -1.992641
-0.4205763 -0.6685568 2.195254 -1.998401
-0.3698146 -0.6855206 2.086549 -1.847725
-0.2963769 -0.6661562 1.880635 -1.697001
-0.4262044 -0.755307 1.907996 -1.738786
-0.4456337 -0.6632963 1.831837 -1.657359
-0.4398434 -0.8523221 1.924868 -1.731981
-0.3784487 -0.7214385 1.985214 -1.877628
-0.4517401 -0.5185275 2.029732 -1.829477
-0.4314476 -0.6408319 1.884022 -1.659769
-0.3469111 -0.6877583 1.84643 -1.610375
-0.3278598 -0.8595275 1.734676 -1.562896
-0.4044875 -0.610197 1.774012 -1.568953
-0.3587303 -0.7782296 1.738653 -1.48967
-0.3566768 -0.5047495 1.646689 -1.466748
-0.4175437 -0.4585079 1.756157 -1.599983
